"TauSxy","nut","alphas","alpha.water","TauFxy","rho","mum","k","psk","psf","p_rgh","alpha.sand","mup","CD","p","alpha.air","gamma","alphaSolInd","epsilon","gradAlphad:0","gradAlphad:1","gradAlphad:2","U:0","U:1","U:2","gradPsf:0","gradPsf:1","gradPsf:2","Wi:0","Wi:1","Wi:2","Wtd:0","Wtd:1","Wtd:2","Wsd:0","Wsd:1","Wsd:2","W:0","W:1","W:2","TauF:0","TauF:1","TauF:2","TauF:3","TauF:4","TauF:5","TauS:0","TauS:1","TauS:2","TauS:3","TauS:4","TauS:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.56058,4.8556e-05,0.42513,0.78743,1.5993,1040.4,0.0018403,0.0044363,0.63901,0,9.8973,0.21257,0.013915,3.5346,-194.22,-5.2246e-17,1,1,0.036478,0,-50.316,0,0.17805,1.6353e-06,0,0,0,0,-4.1289e-06,-0.028856,0,0,0.028906,0,0,3.7313e-06,0,-4.1289e-06,5.3644e-05,0,7.6095e-07,-1.5219e-06,7.6095e-07,1.5993,0,0,2.4984e-07,-4.9969e-07,2.4984e-07,0.56058,0,0,1,0.020001,-0.000255,0.02,-0.000255
0.30648,5.6676e-05,0.35182,0.82409,1.8754,1033.4,0.0016325,0.0051064,0.34268,0,8.7935,0.17591,0.007825,2.8584,-204.1,-3.2654e-17,1,1,0.041411,0,-52.666,0,0.21796,1.5846e-06,0,0,0,0,-2.8601e-06,-0.032827,0,0,0.032864,0,0,2.276e-05,0,-2.8601e-06,5.9574e-05,0,2.273e-06,-4.546e-06,2.273e-06,1.8754,0,0,3.5656e-07,-7.1311e-07,3.5656e-07,0.30648,0,0,1,0.021002,-0.0002465,0.021,-0.0002465
0.15691,6.5513e-05,0.29061,0.85469,2.0673,1027.6,0.0014853,0.0056231,0.17283,0,7.7389,0.14531,0.004324,2.4129,-214.04,1.3061e-17,1,1,0.04345,0,-51.064,0,0.2557,1.4976e-06,0,0,0,0,-2.0363e-06,-0.036365,0,0,0.036407,0,0,2.3688e-05,0,-2.0363e-06,6.528e-05,0,3.8286e-06,-7.6572e-06,3.8286e-06,2.0673,0,0,2.8528e-07,-5.7057e-07,2.8528e-07,0.15691,0,0,1,0.022002,-0.000238,0.022,-0.000238
0.079255,7.4918e-05,0.24078,0.87961,2.1897,1022.9,0.0013801,0.0060036,0.086309,0,6.7823,0.12039,0.0024181,2.1136,-224.01,0,1,1,0.043315,0,-45.891,0,0.29013,1.3898e-06,0,0,0,0,-1.7554e-06,-0.039402,0,0,0.039455,0,0,1.7039e-05,0,-1.7554e-06,7.069e-05,0,5.0205e-06,-1.0041e-05,5.0205e-06,2.1897,0,0,1.8057e-07,-3.6115e-07,1.8057e-07,0.079255,0,0,1,0.023002,-0.0002295,0.023,-0.0002295
0.041331,8.4703e-05,0.20084,0.89958,2.267,1019.1,0.0013038,0.0062788,0.044638,0,5.9499,0.10042,0.0014021,1.9077,-233.98,4.7059e-08,1,1,0.041913,0,-38.479,0,0.32103,1.2771e-06,0,0,0,0,-1.7566e-06,-0.04194,0,0,0.042005,0,0,1.0568e-05,0,-1.7566e-06,7.5929e-05,0,5.7328e-06,-1.1466e-05,5.7328e-06,2.267,0,0,1.0415e-07,-2.083e-07,1.0415e-07,0.041331,0,0,1,0.024002,-0.000221,0.024,-0.000221
0.0030045,9.4704e-05,0.16862,0.91569,2.3289,1016,0.0012467,0.0064804,0.0032248,0,5.2568,0.084308,0.00010785,1.7595,-243.92,-1.8235e-07,1,1,0.039928,0,-30.463,0,0.34893,1.169e-06,0,0,0,0,-1.8333e-06,-0.044053,0,0,0.044128,0,0,6.4217e-06,0,-1.8333e-06,8.109e-05,0,6.0867e-06,-1.2173e-05,6.0867e-06,2.3289,0,0,7.7754e-09,-1.5551e-08,7.7754e-09,0.0030045,0,0,1,0.025002,-0.0002125,0.025,-0.0002125
0.00019769,0.00010487,0.14275,0.92862,2.3562,1013.6,0.0012035,0.0066242,0.00020642,0,4.6459,0.071376,8.2379e-06,1.6511,-253.87,1.5e-07,1,1,0.037673,0,-23.027,0,0.37414,1.0698e-06,0,0,0,0,-1.9039e-06,-0.045793,0,0,0.045875,0,0,4.1916e-06,0,-1.9039e-06,8.622e-05,0,6.1883e-06,-1.2377e-05,6.1883e-06,2.3562,0,0,5.1929e-10,-1.0386e-09,5.1929e-10,0.00019769,0,0,1,0.026002,-0.000204,0.026,-0.000204
0.00012574,0.00011513,0.12189,0.93906,2.3704,1011.6,0.0011703,0.006726,0.0001312,0,4.1311,0.060944,5.7724e-06,1.5698,-263.8,4.0294e-07,1,1,0.035382,0,-16.818,0,0.3969,9.8049e-07,0,0,0,0,-1.9453e-06,-0.047226,0,0,0.047315,0,0,2.5686e-06,0,-1.9453e-06,9.1342e-05,0,6.15e-06,-1.23e-05,6.15e-06,2.3704,0,0,3.2648e-10,-6.5297e-10,3.2648e-10,0.00012574,0,0,1,0.027002,-0.0001955,0.027,-0.0001955
8.2098e-05,0.0001254,0.10483,0.94759,2.3785,1010,0.0011441,0.0067983,8.5623e-05,0,3.6946,0.052414,4.1294e-06,1.507,-273.72,-5.2942e-08,1,1,0.033182,0,-11.946,0,0.41767,9.0047e-07,0,0,0,0,-1.9659e-06,-0.048416,0,9.0928e-18,0.048511,0,3.1316e-21,1.6033e-06,0,-1.9659e-06,9.6468e-05,0,6.03e-06,-1.206e-05,6.03e-06,2.3785,0,0,2.0828e-10,-4.1656e-10,2.0828e-10,8.2098e-05,0,0,1,0.028002,-0.000187,0.028,-0.000187
5.5324e-05,0.00013561,0.090887,0.95456,2.3819,1008.6,0.0011233,0.0068476,5.768e-05,0,3.3246,0.045443,3.0247e-06,1.4581,-283.62,1.0294e-07,1,1,0.03113,0,-8.3466,0,0.43668,8.2919e-07,0,0,0,0,-1.9745e-06,-0.049401,0,0,0.049502,0,0,1.0298e-06,0,-1.9745e-06,0.0001016,0,5.8626e-06,-1.1725e-05,5.8626e-06,2.3819,0,0,1.363e-10,-2.7259e-10,1.363e-10,5.5324e-05,0,0,1,0.029002,-0.0001785,0.029,-0.0001785
