"p","U:0","U:1","U:2","CD","W:0","W:1","W:2","Wi:0","Wi:1","Wi:2","Wsd:0","Wsd:1","Wsd:2","Wtd:0","Wtd:1","Wtd:2","alpha.air","alpha.sand","alpha.water","alphaSolInd","alphas","epsilon","gamma","gradAlphad:0","gradAlphad:1","gradAlphad:2","gradPsf:0","gradPsf:1","gradPsf:2","k","mum","mup","nut","p_rgh","psf","psk","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-676.83,0.76087,6.7192e-08,0,1.1946,-2.4169e-06,0.00018096,0,-2.4169e-06,-0.055808,0,3.0317e-25,1.1099e-10,0,5.3469e-17,0.055989,0,0,0.0019659,0.99803,1,2.5478e-09,0.0062875,1,-4.1559e-22,-1.024e-06,0,0,0,0,0.0054169,0.0010049,4.8365e-09,0.00042004,0.30826,0,2.1414e-08,1000.4,1,0.069,0,0.069,0
-686.65,0.76508,6.3341e-08,0,1.194,-2.4539e-06,0.00017983,0,-2.4539e-06,-0.055824,0,8.2915e-25,9.6454e-11,0,-6.0779e-17,0.056003,0,0,0.0018645,0.99814,1,1.7076e-09,0.0061118,1,-2.2668e-22,-6.8631e-07,0,0,0,0,0.005367,0.0010047,4.3488e-09,0.00042418,0.29513,0,1.8876e-08,1000.4,1,0.07,0,0.07,0
-696.46,0.7692,5.9712e-08,0,1.1935,-2.4909e-06,0.00017864,0,-2.4909e-06,-0.055838,0,2.003e-26,8.3955e-11,0,-1.0938e-17,0.056017,0,0,0.0017692,0.99823,1,1.142e-09,0.0059422,1,-4.7233e-24,-4.5899e-07,0,0,0,0,0.005317,0.0010044,3.9137e-09,0.0004282,0.2826,0,1.6656e-08,1000.3,1,0.071,0,0.071,0
-706.27,0.77325,5.6302e-08,0,1.193,-2.5278e-06,0.0001774,0,-2.5278e-06,-0.055852,0,2.0027e-25,7.3253e-11,0,-1.0936e-16,0.056029,0,0,0.0016796,0.99832,1,7.6756e-10,0.0057785,1,-4.7226e-23,-3.085e-07,0,0,0,0,0.005267,0.0010042,3.5267e-09,0.00043209,0.27066,0,1.4723e-08,1000.3,1,0.072,0,0.072,0
-716.09,0.77722,5.3087e-08,0,1.1926,-2.5644e-06,0.00017611,0,-2.5644e-06,-0.055865,0,3.0072e-25,6.3995e-11,0,2.0026e-17,0.056041,0,0,0.0015951,0.99841,1,5.1411e-10,0.0056202,1,-4.0141e-23,-2.0663e-07,0,0,0,0,0.0052171,0.001004,3.18e-09,0.00043587,0.25925,0,1.3025e-08,1000.3,1,0.073,0,0.073,0
-725.9,0.78111,5.0061e-08,0,1.1922,-2.6008e-06,0.00017476,0,-2.6008e-06,-0.055877,0,5.233e-25,5.5995e-11,0,2.8555e-17,0.056052,0,0,0.0015156,0.99848,1,3.4419e-10,0.0054671,1,-4.0141e-23,-1.3834e-07,0,0,0,0,0.0051671,0.0010038,2.8698e-09,0.00043953,0.24835,0,1.1535e-08,1000.3,1,0.074,0,0.074,0
-735.71,0.78493,4.7217e-08,0,1.1918,-2.637e-06,0.00017337,0,-2.637e-06,-0.055888,0,1.0932e-25,4.9092e-11,0,7.9507e-17,0.056062,0,0,0.0014407,0.99856,1,2.3121e-10,0.0053191,1,-1.889e-23,-9.293e-08,0,0,0,0,0.0051171,0.0010036,2.5927e-09,0.00044307,0.23796,0,1.0229e-08,1000.3,1,0.075,0,0.075,0
-745.53,0.78869,4.4539e-08,0,1.1914,-2.6728e-06,0.00017195,0,-2.6728e-06,-0.055899,0,4.0998e-26,4.3087e-11,0,2.9817e-17,0.056071,0,0,0.00137,0.99863,1,1.5477e-10,0.0051757,1,-7.0842e-24,-6.2207e-08,0,0,0,0,0.0050672,0.0010034,2.3435e-09,0.0004465,0.22801,0,9.0775e-09,1000.3,1,0.076,0,0.076,0
-755.34,0.79237,4.2021e-08,0,1.191,-2.7082e-06,0.00017052,0,-2.7082e-06,-0.055909,0,0,3.7878e-11,0,3.8309e-17,0.05608,0,0,0.0013032,0.9987,1,1.0373e-10,0.0050368,1,-1.6529e-23,-4.1691e-08,0,0,0,0,0.0050173,0.0010033,2.1201e-09,0.00044982,0.21849,0,8.0641e-09,1000.2,1,0.077,0,0.077,0
-765.15,0.79599,3.9656e-08,0,1.1907,-2.7431e-06,0.00016909,0,-2.7431e-06,-0.055919,0,9.0269e-26,3.3352e-11,0,3.1741e-17,0.056088,0,0,0.0012401,0.99876,1,6.9641e-11,0.0049023,1,-2.6565e-24,-2.7991e-08,0,0,0,0,0.0049674,0.0010031,1.9196e-09,0.00045302,0.20937,0,7.1714e-09,1000.2,1,0.078,0,0.078,0
-774.96,0.79954,3.7417e-08,0,1.1904,-2.7775e-06,0.00016754,0,-2.7775e-06,-0.055928,0,2.0057e-26,2.9396e-11,0,7.0527e-18,0.056096,0,0,0.0011804,0.99882,1,4.6587e-11,0.0047718,1,-5.9025e-25,-1.8725e-08,0,0,0,0,0.0049176,0.001003,1.7388e-09,0.00045612,0.20064,0,6.3809e-09,1000.2,1,0.079,0,0.079,0
-784.78,0.80303,3.5305e-08,0,1.1901,-2.8114e-06,0.00016597,0,-2.8114e-06,-0.055937,0,1.1687e-25,2.5951e-11,0,5.3096e-17,0.056103,0,0,0.001124,0.99888,1,3.1258e-11,0.0046453,1,-5.7556e-24,-1.2564e-08,0,0,0,0,0.0048678,0.0010028,1.5763e-09,0.0004591,0.19228,0,5.6837e-09,1000.2,1,0.08,0,0.08,0
-794.59,0.80646,3.3319e-08,0,1.1898,-2.8448e-06,0.00016456,0,-2.8448e-06,-0.055945,0,2.6513e-25,2.2937e-11,0,8.2506e-17,0.056109,0,0,0.0010706,0.99893,1,2.0974e-11,0.0045226,1,0,-8.4301e-09,0,0,0,0,0.0048181,0.0010027,1.43e-09,0.00046198,0.18428,0,5.0664e-09,1000.2,1,0.081,0,0.081,0
-804.4,0.80984,3.1451e-08,0,1.1895,-2.8775e-06,0.00016331,0,-2.8775e-06,-0.055952,0,2.2515e-25,2.0291e-11,0,-9.8056e-17,0.056116,0,0,0.0010201,0.99898,1,1.4022e-11,0.0044034,1,-2.3613e-24,-5.6356e-09,0,0,0,0,0.0047684,0.0010026,1.2976e-09,0.00046475,0.1766,0,4.5181e-09,1000.2,1,0.082,0,0.082,0
-814.21,0.81315,2.9693e-08,0,1.1893,-2.9096e-06,0.00016169,0,-2.9096e-06,-0.05596,0,6.0681e-26,1.7962e-11,0,2.8289e-17,0.056122,0,0,0.00097163,0.99903,1,9.4185e-12,0.0042877,1,-1.8447e-25,-3.7856e-09,0,0,0,0,0.0047188,0.0010024,1.1773e-09,0.00046741,0.16916,0,4.0294e-09,1000.2,1,0.083,0,0.083,0
-824.02,0.81641,2.7979e-08,0,1.189,-2.941e-06,0.00015982,0,-2.941e-06,-0.055967,0,7.282e-26,1.5851e-11,0,3.3948e-17,0.056127,0,0,0.00092378,0.99908,1,6.3161e-12,0.0041753,1,-2.2137e-25,-2.5386e-09,0,0,0,0,0.0046693,0.0010023,1.0641e-09,0.00046997,0.16171,0,3.5806e-09,1000.2,1,0.084,0,0.084,0
-833.83,0.81961,2.6294e-08,0,1.1888,-2.9719e-06,0.00015786,0,-2.9719e-06,-0.055974,0,0,1.3927e-11,0,0,0.056132,0,0,0.00087617,0.99912,1,4.2197e-12,0.004066,1,0,-1.696e-09,0,0,0,0,0.0046198,0.0010022,9.5713e-10,0.00047242,0.15421,0,3.1661e-09,1000.2,1,0.085,0,0.085,0
-843.65,0.82276,2.4636e-08,0,1.1885,-3.002e-06,0.0001568,0,-3.002e-06,-0.055982,0,0,1.2182e-11,0,3.4472e-17,0.056138,0,0,0.00082882,0.99917,1,2.8377e-12,0.0039598,1,-1.6603e-25,-1.1406e-09,0,0,0,0,0.0045704,0.0010021,8.5636e-10,0.00047477,0.14666,0,2.7856e-09,1000.2,1,0.086,0,0.086,0
-853.46,0.82585,2.3006e-08,0,1.1883,-3.0314e-06,0.00015578,0,-3.0314e-06,-0.055989,0,0,1.0596e-11,0,2.8727e-17,0.056145,0,0,0.00078168,0.99922,1,1.9018e-12,0.0038565,1,-1.3836e-25,-7.6441e-10,0,0,0,0,0.0045211,0.001002,7.6151e-10,0.00047703,0.13907,0,2.4358e-09,1000.2,1,0.087,0,0.087,0
-863.27,0.8289,2.1403e-08,0,1.188,-3.0602e-06,0.0001546,0,-3.0602e-06,-0.055996,0,1.2002e-25,9.1587e-12,0,-2.3475e-18,0.056151,0,0,0.00073476,0.99927,1,1.2719e-12,0.003756,1,-2.9516e-25,-5.1119e-10,0,0,0,0,0.0044719,0.0010018,6.7259e-10,0.00047919,0.13142,0,2.1156e-09,1000.1,1,0.088,0,0.088,0
-873.08,0.83189,1.9829e-08,0,1.1878,-3.0882e-06,0.00015233,0,-3.0882e-06,-0.056003,0,5.5725e-26,7.8677e-12,0,-5.0059e-18,0.056156,0,0,0.00068803,0.99931,1,8.549e-13,0.0036583,1,-1.568e-25,-3.4362e-10,0,0,0,0,0.0044228,0.0010017,5.8985e-10,0.00048124,0.12371,0,1.825e-09,1000.1,1,0.089,0,0.089,0
-882.89,0.83484,1.8284e-08,0,1.1875,-3.1156e-06,0.00014989,0,-3.1156e-06,-0.05601,0,0,6.7026e-12,0,0,0.05616,0,0,0.00064149,0.99936,1,5.7262e-13,0.0035631,1,0,-2.3014e-10,0,0,0,0,0.0043738,0.0010016,5.1276e-10,0.0004832,0.11594,0,1.5605e-09,1000.1,1,0.09,0,0.09,0
-892.7,0.83774,1.6768e-08,0,1.1873,-3.1422e-06,0.00014783,0,-3.1422e-06,-0.056017,0,0,5.6562e-12,0,0,0.056165,0,0,0.00059513,0.9994,1,3.8334e-13,0.0034704,1,0,-1.5408e-10,0,0,0,0,0.0043248,0.0010015,4.4129e-10,0.00048507,0.10812,0,1.321e-09,1000.1,1,0.091,0,0.091,0
-902.51,0.84058,1.5282e-08,0,1.187,-3.1681e-06,0.00014692,0,-3.1681e-06,-0.056024,0,3.4252e-26,4.7213e-12,0,4.8716e-17,0.056171,0,0,0.00054895,0.99945,1,2.5755e-13,0.0033802,1,-1.96e-26,-1.035e-10,0,0,0,0,0.004276,0.0010014,3.7541e-10,0.00048684,0.10025,0,1.1055e-09,1000.1,1,0.092,0,0.092,0
-912.33,0.84339,1.3825e-08,0,1.1868,-3.1932e-06,0.00014619,0,-3.1932e-06,-0.056031,0,2.3542e-26,3.8879e-12,0,-4.4453e-17,0.056178,0,0,0.00050293,0.9995,1,1.7238e-13,0.0032923,1,0,-6.929e-11,0,0,0,0,0.0042273,0.0010013,3.1494e-10,0.00048853,0.092315,0,9.1231e-10,1000.1,1,0.093,0,0.093,0
-922.14,0.84615,1.2399e-08,0,1.1865,-3.2177e-06,0.00014438,0,-3.2177e-06,-0.056039,0,0,3.1536e-12,0,-2.8242e-17,0.056183,0,0,0.00045705,0.99954,1,1.1556e-13,0.0032066,1,-1.7294e-27,-4.6432e-11,0,0,0,0,0.0041788,0.0010011,2.6007e-10,0.00049012,0.08432,0,7.4116e-10,1000.1,1,0.094,0,0.094,0
-931.95,0.84886,1.1003e-08,0,1.1863,-3.2414e-06,0.000141,0,-3.2414e-06,-0.056046,0,0,2.512e-12,0,-7.5315e-17,0.056187,0,0,0.00041131,0.99959,1,7.7589e-14,0.0031231,1,-4.6119e-27,-3.1186e-11,0,0,0,0,0.0041303,0.001001,2.1075e-10,0.00049162,0.07626,0,5.9097e-10,1000.1,1,0.095,0,0.095,0
-941.76,0.85153,9.6365e-09,0,1.1861,-3.2645e-06,0.00013706,0,-3.2645e-06,-0.056052,0,0,1.9533e-12,0,0,0.05619,0,0,0.00036569,0.99963,1,5.1876e-14,0.0030417,1,0,-2.0835e-11,0,0,0,0,0.004082,0.0010009,1.6665e-10,0.00049303,0.06814,0,4.5976e-10,1000.1,1,0.096,0,0.096,0
-951.57,0.85415,8.3015e-09,0,1.1858,-3.2868e-06,0.00013527,0,-3.2868e-06,-0.056059,0,5.5525e-27,1.4741e-12,0,-8.0584e-17,0.056195,0,0,0.00032021,0.99968,1,3.4823e-14,0.0029624,1,-2.45e-27,-1.4e-11,0,0,0,0,0.0040338,0.0010008,1.2783e-10,0.00049435,0.05996,0,3.4697e-10,1000.1,1,0.097,0,0.097,0
-961.38,0.85674,6.9973e-09,0,1.1856,-3.3084e-06,0.00013529,0,-3.3084e-06,-0.056066,0,4.7571e-27,1.069e-12,0,-1.1045e-16,0.056202,0,0,0.00027485,0.99973,1,2.3365e-14,0.002885,1,0,-9.3923e-12,0,0,0,0,0.0039858,0.0010007,9.4165e-11,0.00049559,0.051719,0,2.5147e-10,1000.1,1,0.098,0,0.098,0
-971.19,0.85928,5.7231e-09,0,1.1853,-3.3294e-06,0.00013615,0,-3.3294e-06,-0.056073,0,4.7579e-28,7.3301e-13,0,-1.1047e-17,0.056209,0,0,0.00022961,0.99977,1,1.5655e-14,0.0028096,1,0,-6.2791e-12,0,0,0,0,0.0039379,0.0010006,6.5576e-11,0.00049674,0.043415,0,1.7224e-10,1000,1,0.099,0,0.099,0
-981,0.86178,4.4782e-09,0,1.1851,-3.3496e-06,0.00013064,0,-3.3496e-06,-0.05608,0,2.0348e-27,4.6785e-13,0,-1.8845e-16,0.056211,0,0,0.00018443,0.99982,1,1.0472e-14,0.002736,1,-1.225e-27,-4.2096e-12,0,0,0,0,0.0038901,0.0010005,4.2458e-11,0.00049781,0.035035,0,1.0975e-10,1000,1,0.1,0,0.1,0
