"p","U:0","U:1","U:2","CD","W:0","W:1","W:2","Wi:0","Wi:1","Wi:2","Wsd:0","Wsd:1","Wsd:2","Wtd:0","Wtd:1","Wtd:2","alpha.air","alpha.sand","alpha.water","alphaSolInd","alphas","epsilon","gamma","gradAlphad:0","gradAlphad:1","gradAlphad:2","gradPsf:0","gradPsf:1","gradPsf:2","k","mum","mup","nut","p_rgh","psf","psk","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-184.42,0.13827,1.642e-06,0,4.6158,-4.7836e-06,4.7779e-05,0,-4.7836e-06,-0.024597,0,0,0,0,0,0.024644,0,0,0.25538,0.74462,1,0.73979,0.028696,1,0,-44.516,0,0,0,0,0.0036261,0.0021451,0.024121,4.1254e-05,11.003,0,1.0871,1048.5,1,0.019,0,0.019,0
-194.22,0.17805,1.6353e-06,0,3.5346,-4.1289e-06,5.3644e-05,0,-4.1289e-06,-0.028856,0,0,3.7313e-06,0,0,0.028906,0,0,0.21257,0.78743,1,0.64452,0.036478,1,0,-50.316,0,0,0,0,0.0044363,0.0018403,0.013915,4.8556e-05,9.8973,0,0.63901,1040.4,1,0.02,0,0.02,0
-204.1,0.21796,1.5846e-06,0,2.8584,-2.8601e-06,5.9574e-05,0,-2.8601e-06,-0.032827,0,0,2.276e-05,0,0,0.032864,0,0,0.17591,0.82409,1,0.54057,0.041411,1,0,-52.666,0,0,0,0,0.0051064,0.0016325,0.007825,5.6676e-05,8.7935,0,0.34268,1033.4,1,0.021,0,0.021,0
-214.04,0.2557,1.4976e-06,0,2.4129,-2.0363e-06,6.528e-05,0,-2.0363e-06,-0.036365,0,0,2.3688e-05,0,0,0.036407,0,0,0.14531,0.85469,1,0.43589,0.04345,1,0,-51.064,0,0,0,0,0.0056231,0.0014853,0.004324,6.5513e-05,7.7389,0,0.17283,1027.6,1,0.022,0,0.022,0
-224.01,0.29013,1.3898e-06,0,2.1136,-1.7554e-06,7.069e-05,0,-1.7554e-06,-0.039402,0,0,1.7039e-05,0,0,0.039455,0,0,0.12039,0.87961,1,0.3382,0.043315,1,0,-45.891,0,0,0,0,0.0060036,0.0013801,0.0024181,7.4918e-05,6.7823,0,0.086309,1022.9,1,0.023,0,0.023,0
-233.98,0.32103,1.2771e-06,0,1.9077,-1.7566e-06,7.5929e-05,0,-1.7566e-06,-0.04194,0,0,1.0568e-05,0,0,0.042005,0,0,0.10042,0.89958,1,0.25371,0.041913,1,0,-38.479,0,0,0,0,0.0062788,0.0013038,0.0014021,8.4703e-05,5.9499,0,0.044638,1019.1,1,0.024,0,0.024,0
-243.92,0.34893,1.169e-06,0,1.7595,-1.8333e-06,8.109e-05,0,-1.8333e-06,-0.044053,0,0,6.4217e-06,0,0,0.044128,0,0,0.084308,0.91569,1,0.18463,0.039928,1,0,-30.463,0,0,0,0,0.0064804,0.0012467,0.00010785,9.4704e-05,5.2568,0,0.0032248,1016,1,0.025,0,0.025,0
-253.87,0.37414,1.0698e-06,0,1.6511,-1.9039e-06,8.622e-05,0,-1.9039e-06,-0.045793,0,0,4.1916e-06,0,0,0.045875,0,0,0.071376,0.92862,1,0.13137,0.037673,1,0,-23.027,0,0,0,0,0.0066242,0.0012035,8.2379e-06,0.00010487,4.6459,0,0.00020642,1013.6,1,0.026,0,0.026,0
-263.8,0.3969,9.8049e-07,0,1.5698,-1.9453e-06,9.1342e-05,0,-1.9453e-06,-0.047226,0,0,2.5686e-06,0,0,0.047315,0,0,0.060944,0.93906,1,0.09195,0.035382,1,0,-16.818,0,0,0,0,0.006726,0.0011703,5.7724e-06,0.00011513,4.1311,0,0.0001312,1011.6,1,0.027,0,0.027,0
-273.72,0.41767,9.0047e-07,0,1.507,-1.9659e-06,9.6468e-05,0,-1.9659e-06,-0.048416,0,3.1316e-21,1.6033e-06,0,9.0928e-18,0.048511,0,0,0.052414,0.94759,1,0.063366,0.033182,1,0,-11.946,0,0,0,0,0.0067983,0.0011441,4.1294e-06,0.0001254,3.6946,0,8.5623e-05,1010,1,0.028,0,0.028,0
-283.62,0.43668,8.2919e-07,0,1.4581,-1.9745e-06,0.0001016,0,-1.9745e-06,-0.049401,0,0,1.0298e-06,0,0,0.049502,0,0,0.045443,0.95456,1,0.043375,0.03113,1,0,-8.3466,0,0,0,0,0.0068476,0.0011233,3.0247e-06,0.00013561,3.3246,0,5.768e-05,1008.6,1,0.029,0,0.029,0
